Date,Product,Region,Quantity,UnitPrice,CustomerAge,Rating,Revenue,Month,Quarter
2024-12-25,Keyboard,North,9,49,58,5.0,441,12,4
2024-08-01,Speaker,South,1,399,34,5.0,399,8,3
2024-02-04,Charger,West,13,599,57,5.0,7787,2,1
2024-08-14,Laptop,South,5,149,48,4.0,745,8,3
2024-04-10,Webcam,South,11,19,51,3.5,209,4,2
2024-05-10,Webcam,South,7,79,41,4.5,553,5,2
2024-09-13,Laptop,East,1,89,62,5.0,89,9,3
2024-01-05,Phone,East,14,299,52,3.5,4186,1,1
2024-08-05,Mouse,South,4,89,23,5.0,356,8,3
2024-09-11,Speaker,West,6,19,36,4.0,114,9,3
2024-12-24,Monitor,North,2,89,47,3.5,178,12,4
2024-10-09,Charger,West,10,599,24,4.0,5990,10,4
2024-07-25,Laptop,Central,5,49,27,5.0,245,7,3
2024-01-15,Keyboard,East,11,299,58,5.0,3289,1,1
2024-12-11,Charger,North,10,899,49,4.0,8990,12,4
2024-02-11,Mouse,North,1,19,51,4.5,19,2,1
2024-06-27,Keyboard,Central,6,1299,45,4.0,7794,6,2
2024-03-03,Tablet,Central,6,899,32,5.0,5394,3,1
2024-12-17,Webcam,South,13,89,47,4.0,1157,12,4
2024-08-18,Tablet,East,4,19,54,4.5,76,8,3
2024-08-28,Charger,East,13,399,46,4.0,5187,8,3
2024-02-21,Mouse,West,8,1299,39,4.5,10392,2,1
2024-04-05,Speaker,South,4,299,21,4.5,1196,4,2
2024-08-09,Charger,South,8,79,37,4.0,632,8,3
2024-08-18,Laptop,South,13,399,49,4.0,5187,8,3
2024-08-24,Headphones,South,8,899,53,3.5,7192,8,3
2024-05-22,Charger,East,5,49,21,5.0,245,5,2
2024-06-19,Webcam,East,13,599,44,4.5,7787,6,2
2024-01-29,Webcam,South,4,79,34,3.5,316,1,1
2024-02-05,Charger,West,12,399,29,4.0,4788,2,1
2024-01-13,Keyboard,North,13,49,39,5.0,637,1,1
2024-06-08,Headphones,North,2,49,34,3.5,98,6,2
2024-11-22,Laptop,West,11,19,27,4.5,209,11,4
2024-07-05,Charger,South,3,399,18,3.5,1197,7,3
2024-08-30,Keyboard,East,3,299,39,4.5,897,8,3
2024-03-26,Webcam,North,4,89,43,4.0,356,3,1
2024-10-10,Webcam,Central,4,1299,35,5.0,5196,10,4
2024-03-06,Mouse,Central,10,1299,31,5.0,12990,3,1
2024-06-18,Charger,West,11,899,64,5.0,9889,6,2
2024-02-14,Headphones,South,11,899,46,4.0,9889,2,1
2024-03-02,Phone,North,5,1299,29,4.5,6495,3,1
2024-05-13,Headphones,South,4,299,53,4.0,1196,5,2
2024-10-10,Webcam,North,11,599,52,5.0,6589,10,4
2024-01-28,Webcam,West,14,149,29,4.0,2086,1,1
2024-04-17,Tablet,West,10,89,24,4.0,890,4,2
2024-02-13,Webcam,Central,8,599,46,4.0,4792,2,1
2024-12-05,Laptop,South,6,19,28,4.5,114,12,4
2024-10-12,Monitor,Central,6,149,50,3.5,894,10,4
2024-11-26,Charger,South,8,149,23,3.5,1192,11,4
2024-05-07,Headphones,Central,7,399,64,4.0,2793,5,2
2024-12-13,Monitor,East,10,299,32,3.5,2990,12,4
2024-08-18,Keyboard,East,14,299,49,3.5,4186,8,3
2024-07-08,Phone,East,11,149,28,4.0,1639,7,3
2024-08-12,Laptop,East,12,399,40,4.0,4788,8,3
2024-10-09,Headphones,North,10,89,43,5.0,890,10,4
2024-04-30,Monitor,East,13,149,51,3.5,1937,4,2
2024-04-25,Phone,West,8,79,63,4.5,632,4,2
2024-08-20,Tablet,West,14,899,51,4.0,12586,8,3
2024-09-15,Laptop,North,2,899,46,5.0,1798,9,3
2024-12-24,Laptop,East,9,599,21,4.5,5391,12,4
2024-07-16,Tablet,East,1,19,34,3.5,19,7,3
2024-05-16,Charger,East,8,899,52,5.0,7192,5,2
2024-11-13,Tablet,Central,12,49,30,4.0,588,11,4
2024-06-13,Laptop,South,11,599,58,4.5,6589,6,2
2024-08-12,Laptop,Central,12,899,56,4.0,10788,8,3
2024-11-02,Monitor,South,12,19,32,3.5,228,11,4
2024-08-21,Webcam,East,4,299,46,4.5,1196,8,3
2024-06-20,Phone,East,4,299,46,3.5,1196,6,2
2024-05-31,Tablet,Central,5,89,28,3.5,445,5,2
2024-11-10,Phone,Central,8,149,49,5.0,1192,11,4
2024-06-08,Tablet,South,5,79,19,4.0,395,6,2
2024-04-05,Keyboard,West,8,299,64,4.5,2392,4,2
2024-08-20,Laptop,South,10,399,31,3.5,3990,8,3
2024-06-28,Webcam,Central,1,899,37,3.5,899,6,2
2024-04-22,Monitor,Central,12,399,39,4.5,4788,4,2
2024-11-13,Webcam,North,10,19,28,3.5,190,11,4
2024-02-21,Webcam,Central,9,299,44,5.0,2691,2,1
2024-09-24,Webcam,North,6,79,20,5.0,474,9,3
2024-10-21,Phone,West,3,19,34,5.0,57,10,4
2024-04-22,Tablet,South,13,49,61,5.0,637,4,2
2024-04-10,Speaker,South,14,49,45,3.5,686,4,2
2024-04-22,Keyboard,North,8,399,46,4.5,3192,4,2
2024-03-21,Headphones,South,9,149,38,4.5,1341,3,1
2024-07-05,Webcam,Central,6,599,64,4.5,3594,7,3
2024-04-22,Charger,East,11,149,33,4.5,1639,4,2
2024-01-02,Phone,North,7,89,54,4.0,623,1,1
2024-05-09,Monitor,South,1,149,37,4.5,149,5,2
2024-08-07,Headphones,North,14,89,23,4.0,1246,8,3
2024-02-23,Speaker,North,5,89,36,4.0,445,2,1
2024-12-08,Charger,East,5,79,22,5.0,395,12,4
2024-08-11,Speaker,Central,10,299,20,4.0,2990,8,3
2024-08-12,Headphones,North,14,79,18,3.5,1106,8,3
2024-05-05,Webcam,South,4,89,55,4.0,356,5,2
2024-05-09,Charger,West,6,19,32,5.0,114,5,2
2024-02-22,Speaker,North,7,49,51,4.0,343,2,1
2024-06-20,Monitor,North,9,89,52,3.5,801,6,2
2024-08-05,Tablet,East,1,79,42,3.5,79,8,3
2024-06-08,Laptop,Central,6,19,41,3.5,114,6,2
2024-07-16,Tablet,West,7,79,29,5.0,553,7,3
2024-09-03,Headphones,South,3,149,35,5.0,447,9,3
2024-11-19,Phone,West,8,899,32,4.5,7192,11,4
2024-07-21,Laptop,South,5,399,61,5.0,1995,7,3
2024-07-02,Keyboard,Central,9,599,33,3.5,5391,7,3
2024-05-02,Monitor,South,5,79,44,3.5,395,5,2
2024-09-11,Keyboard,East,9,599,25,5.0,5391,9,3
2024-10-20,Charger,East,10,1299,63,4.0,12990,10,4
2024-10-06,Laptop,East,4,79,42,5.0,316,10,4
2024-11-20,Keyboard,East,9,899,34,5.0,8091,11,4
2024-04-07,Keyboard,West,5,599,46,3.5,2995,4,2
2024-07-16,Speaker,Central,10,89,25,4.5,890,7,3
2024-08-27,Tablet,South,9,79,32,3.5,711,8,3
2024-05-23,Speaker,South,3,299,44,4.5,897,5,2
2024-04-06,Laptop,East,4,399,63,3.5,1596,4,2
2024-07-19,Laptop,East,9,899,24,5.0,8091,7,3
2024-05-03,Headphones,North,10,599,20,3.5,5990,5,2
2024-07-05,Speaker,Central,11,899,46,3.5,9889,7,3
2024-11-21,Mouse,West,6,19,61,3.5,114,11,4
2024-12-14,Tablet,South,2,399,41,5.0,798,12,4
2024-09-15,Laptop,North,7,89,20,5.0,623,9,3
2024-05-27,Headphones,North,2,79,37,5.0,158,5,2
2024-09-08,Speaker,South,11,79,63,5.0,869,9,3
2024-12-11,Tablet,West,2,79,32,4.5,158,12,4
2024-05-26,Speaker,North,11,399,42,4.5,4389,5,2
2024-05-27,Keyboard,North,1,299,47,4.0,299,5,2
2024-12-17,Headphones,Central,11,1299,31,5.0,14289,12,4
2024-07-17,Tablet,West,11,49,24,4.5,539,7,3
2024-11-03,Webcam,North,12,149,34,3.5,1788,11,4
2024-05-07,Charger,West,11,599,61,5.0,6589,5,2
2024-02-08,Charger,South,3,299,37,4.0,897,2,1
2024-12-03,Tablet,East,6,89,53,4.0,534,12,4
2024-12-25,Speaker,North,8,599,26,4.0,4792,12,4
2024-05-08,Headphones,Central,9,79,55,3.5,711,5,2
2024-09-23,Charger,South,7,899,39,4.5,6293,9,3
2024-05-30,Headphones,West,4,89,19,3.5,356,5,2
2024-10-24,Charger,South,6,599,41,5.0,3594,10,4
2024-04-08,Keyboard,North,5,79,25,4.0,395,4,2
2024-09-19,Speaker,West,8,599,28,3.5,4792,9,3
2024-09-08,Keyboard,East,1,899,30,3.5,899,9,3
2024-05-23,Charger,South,1,79,34,4.5,79,5,2
2024-12-11,Webcam,North,13,1299,25,4.5,16887,12,4
2024-04-21,Webcam,Central,11,299,38,4.0,3289,4,2
2024-02-29,Keyboard,West,6,19,35,3.5,114,2,1
2024-01-02,Webcam,South,10,149,47,3.5,1490,1,1
2024-10-30,Charger,South,12,399,35,4.5,4788,10,4
2024-09-10,Tablet,East,2,149,63,3.5,298,9,3
2024-05-19,Keyboard,East,5,89,64,3.5,445,5,2
2024-02-06,Phone,Central,1,149,48,3.5,149,2,1
2024-06-08,Speaker,Central,7,79,55,4.5,553,6,2
2024-01-09,Webcam,North,1,1299,49,4.0,1299,1,1
2024-08-20,Webcam,North,4,19,28,5.0,76,8,3
2024-04-08,Laptop,Central,9,299,62,4.0,2691,4,2
2024-05-26,Mouse,Central,1,299,42,5.0,299,5,2
2024-10-30,Keyboard,West,4,899,50,3.5,3596,10,4
2024-07-26,Monitor,East,6,399,55,4.0,2394,7,3
2024-05-10,Webcam,North,6,599,58,5.0,3594,5,2
2024-05-31,Speaker,East,12,1299,25,4.5,15588,5,2
2024-02-23,Phone,East,13,599,28,4.5,7787,2,1
2024-04-29,Webcam,Central,8,19,39,4.0,152,4,2
2024-06-09,Phone,West,1,149,41,4.0,149,6,2
2024-04-25,Charger,South,7,299,58,3.5,2093,4,2
2024-03-15,Charger,West,1,19,34,4.0,19,3,1
2024-04-22,Mouse,West,13,149,29,3.5,1937,4,2
2024-04-13,Tablet,East,14,299,63,3.5,4186,4,2
2024-12-05,Monitor,West,7,149,49,4.5,1043,12,4
2024-09-10,Laptop,North,3,399,32,4.5,1197,9,3
2024-08-14,Mouse,East,11,1299,33,5.0,14289,8,3
2024-04-21,Headphones,North,8,89,39,4.5,712,4,2
2024-04-08,Laptop,South,3,19,45,4.5,57,4,2
2024-06-01,Keyboard,East,14,19,37,4.0,266,6,2
2024-12-14,Speaker,South,14,49,50,4.5,686,12,4
2024-12-31,Headphones,East,13,79,27,5.0,1027,12,4
2024-12-03,Headphones,Central,1,399,57,4.0,399,12,4
2024-07-12,Mouse,West,13,399,49,5.0,5187,7,3
2024-11-05,Tablet,Central,13,599,50,4.5,7787,11,4
2024-06-11,Mouse,South,14,149,19,5.0,2086,6,2
2024-07-26,Keyboard,West,8,79,50,4.0,632,7,3
2024-06-17,Webcam,East,3,1299,50,3.5,3897,6,2
2024-06-09,Webcam,West,2,1299,58,5.0,2598,6,2
2024-03-08,Tablet,North,1,399,30,5.0,399,3,1
