Customer_ID,Tenure_Months,Monthly_Charges,Total_Charges,Internet_Service,Contract,Online_Security,Tech_Support,Paperless_Billing,Payment_Method,Customer_Service_Calls,Churn,Age_Group,Avg_Monthly_to_Total
1028,62,149.09,2171.89,DSL,Two year,No,Yes,No,Bank transfer,0.0,No,4-6yr,6.86
1029,51,29.59,4801.12,No,Month-to-month,Yes,No,No,Electronic check,9.0,No,4-6yr,0.62
1030,55,92.0,506.26,No,One year,No,Yes,Yes,Bank transfer,0.0,Yes,4-6yr,18.17
1031,64,146.01,4021.29,No,Two year,Yes,No,Yes,Mailed check,2.0,No,4-6yr,3.63
1032,3,88.0,4815.06,DSL,Two year,No,nan,Yes,Credit card,7.0,Yes,0-1yr,1.83
1033,51,101.82,2740.53,No,Month-to-month,Yes,No,Yes,Mailed check,7.0,Yes,4-6yr,3.72
1034,7,110.45,6190.21,Fiber optic,Two year,No,Yes,Yes,Electronic check,3.0,No,0-1yr,1.78
1035,21,79.09,942.13,DSL,One year,nan,No,Yes,Credit card,5.0,Yes,1-2yr,8.39
1036,39,101.58,693.59,Fiber optic,One year,Yes,No,No,Bank transfer,7.0,Yes,2-4yr,14.65
1037,18,95.96,5852.69,Fiber optic,Month-to-month,No,No,Yes,Bank transfer,6.0,Yes,1-2yr,1.64
1038,4,137.15,4014.38,Fiber optic,Month-to-month,nan,nan,Yes,Bank transfer,6.0,No,0-1yr,3.42
1039,60,25.91,5538.38,Fiber optic,Two year,No,Yes,Yes,Credit card,3.0,Yes,4-6yr,0.47
1040,14,56.53,3535.14,DSL,One year,No,No,Yes,Mailed check,8.0,No,1-2yr,1.6
1041,9,143.55,2046.58,Fiber optic,One year,No,No,Yes,Credit card,9.0,Yes,0-1yr,7.01
1042,53,135.73,6570.91,DSL,Two year,No,No,Yes,Credit card,5.0,No,4-6yr,2.07
1043,2,79.24,6415.39,Fiber optic,Two year,Yes,Yes,Yes,Electronic check,2.0,No,0-1yr,1.24
1044,60,100.62,5588.1,Fiber optic,Month-to-month,Yes,No,No,Credit card,4.0,No,4-6yr,1.8
1045,71,56.06,2249.95,Fiber optic,One year,No,No,No,Bank transfer,4.0,No,4-6yr,2.49
1046,44,44.46,4762.82,Fiber optic,Month-to-month,No,No,No,Mailed check,4.0,No,2-4yr,0.93
1047,8,80.28,2951.69,DSL,Two year,No,Yes,No,Mailed check,7.0,No,0-1yr,2.72
1048,47,65.94,823.5,DSL,One year,No,No,Yes,Mailed check,8.0,No,2-4yr,8.01
1049,35,95.88,7346.78,DSL,Two year,No,Yes,No,Bank transfer,8.0,Yes,2-4yr,1.31
1050,36,30.11,1180.87,DSL,Month-to-month,No,No,No,Bank transfer,5.0,No,2-4yr,2.55
1051,50,146.67,7606.88,Fiber optic,Month-to-month,nan,No,Yes,Bank transfer,5.0,No,4-6yr,1.93
1052,4,148.21,3623.45,No,Month-to-month,No,No,No,Bank transfer,8.0,No,0-1yr,4.09
1053,2,110.76,,DSL,Month-to-month,No,No,Yes,Bank transfer,3.0,No,0-1yr,7.09
1054,6,89.69,4381.02,DSL,Month-to-month,No,No,No,Credit card,5.0,No,0-1yr,2.05
1055,54,60.24,6996.27,Fiber optic,Two year,No,No,No,Bank transfer,3.0,No,4-6yr,0.86
1056,4,125.79,5884.58,Fiber optic,Month-to-month,nan,No,Yes,Bank transfer,0.0,Yes,0-1yr,2.14
1057,54,109.02,6471.83,Fiber optic,Month-to-month,Yes,No,No,Bank transfer,6.0,Yes,4-6yr,1.68
1058,63,41.14,5304.39,Fiber optic,Two year,Yes,No,No,Bank transfer,9.0,Yes,4-6yr,0.78
1059,18,138.42,5568.98,DSL,One year,No,nan,No,Mailed check,5.0,No,1-2yr,2.49
1060,44,126.93,6808.65,DSL,Two year,No,Yes,Yes,Bank transfer,8.0,No,2-4yr,1.86
1061,34,143.47,2072.38,DSL,Month-to-month,No,No,No,Credit card,6.0,No,2-4yr,6.92
1062,62,114.34,3966.46,No,One year,No,Yes,Yes,Credit card,6.0,No,4-6yr,2.88
1063,14,99.74,1847.55,No,Month-to-month,Yes,No,Yes,Credit card,1.0,No,1-2yr,5.4
1064,48,74.37,7902.58,DSL,Month-to-month,No,No,Yes,Electronic check,8.0,No,2-4yr,0.94
1065,15,141.25,7558.07,No,Two year,No,No,No,Mailed check,9.0,No,1-2yr,1.87
1066,72,132.59,411.47,Fiber optic,Month-to-month,No,No,No,Bank transfer,8.0,No,4-6yr,32.22
1067,62,25.88,5674.04,Fiber optic,One year,No,No,No,Electronic check,5.0,No,4-6yr,0.46
1068,40,23.43,7409.46,Fiber optic,One year,nan,No,No,Bank transfer,2.0,No,2-4yr,0.32
1069,53,68.94,1526.55,DSL,Month-to-month,Yes,No,Yes,Electronic check,0.0,No,4-6yr,4.52
1070,24,125.37,,No,Two year,No,No,Yes,Electronic check,3.0,No,1-2yr,2.73
1071,26,148.35,7332.36,Fiber optic,Month-to-month,No,Yes,Yes,Credit card,2.0,No,2-4yr,2.02
1072,60,39.55,368.17,No,One year,No,No,Yes,Credit card,0.0,No,4-6yr,10.74
1073,41,97.24,5609.62,Fiber optic,Two year,No,No,Yes,Electronic check,2.0,No,2-4yr,1.73
1074,29,69.52,2449.06,No,One year,Yes,No,Yes,Credit card,3.0,Yes,2-4yr,2.84
1075,15,146.09,7402.73,Fiber optic,Two year,Yes,No,Yes,Electronic check,7.0,No,1-2yr,1.97
1076,45,129.48,7771.36,Fiber optic,Month-to-month,No,No,Yes,Mailed check,8.0,Yes,2-4yr,1.67
1077,65,128.98,7559.71,DSL,One year,No,Yes,Yes,Credit card,2.0,No,4-6yr,1.71
1078,71,80.93,3846.29,Fiber optic,Month-to-month,Yes,No,Yes,Credit card,5.0,No,4-6yr,2.1
1079,9,73.93,6910.14,Fiber optic,Two year,Yes,nan,No,Credit card,9.0,No,0-1yr,1.07
1080,1,55.54,6771.94,Fiber optic,Two year,nan,No,No,Mailed check,4.0,Yes,0-1yr,0.82
1081,8,27.33,2620.89,No,Month-to-month,Yes,No,No,Electronic check,5.0,No,0-1yr,1.04
1082,63,132.41,6648.43,DSL,One year,nan,No,Yes,Bank transfer,3.0,No,4-6yr,1.99
1083,11,125.68,392.36,Fiber optic,Month-to-month,No,Yes,Yes,Credit card,9.0,Yes,0-1yr,32.03
1084,8,149.96,4810.53,DSL,One year,No,No,No,Electronic check,5.0,No,0-1yr,3.12
1085,35,149.56,1917.07,DSL,One year,Yes,No,Yes,Mailed check,6.0,No,2-4yr,7.8
1086,35,92.21,1052.48,Fiber optic,Two year,Yes,Yes,Yes,Bank transfer,8.0,No,2-4yr,8.76
1087,33,119.97,707.93,DSL,One year,No,No,Yes,Credit card,9.0,Yes,2-4yr,16.95
1088,5,142.82,5600.68,Fiber optic,Month-to-month,No,No,Yes,Mailed check,6.0,No,0-1yr,2.55
1089,41,130.45,2785.01,Fiber optic,Month-to-month,No,No,Yes,Mailed check,5.0,No,2-4yr,4.68
1090,28,52.16,5825.66,DSL,Month-to-month,Yes,nan,Yes,Bank transfer,0.0,No,2-4yr,0.9
1091,7,78.57,616.32,Fiber optic,Month-to-month,No,Yes,No,Electronic check,1.0,No,0-1yr,12.75
1092,72,36.79,2590.79,DSL,Month-to-month,No,No,Yes,Credit card,0.0,Yes,4-6yr,1.42
1093,12,144.03,4361.98,DSL,Two year,No,Yes,Yes,Credit card,8.0,Yes,0-1yr,3.3
1094,34,98.8,6346.71,Fiber optic,One year,No,nan,No,Electronic check,,Yes,2-4yr,1.56
1095,33,49.72,2618.14,DSL,One year,No,Yes,Yes,Electronic check,9.0,No,2-4yr,1.9
1096,48,107.32,5044.54,Fiber optic,Month-to-month,No,No,Yes,Electronic check,8.0,Yes,2-4yr,2.13
1097,23,100.36,7099.22,No,Two year,Yes,No,No,Bank transfer,6.0,Yes,1-2yr,1.41
1098,62,66.56,4965.32,DSL,Two year,No,No,Yes,Bank transfer,1.0,No,4-6yr,1.34
1099,37,34.76,1940.38,No,Month-to-month,Yes,No,Yes,Credit card,5.0,Yes,2-4yr,1.79
1100,44,107.3,292.77,DSL,Two year,No,No,Yes,Bank transfer,3.0,Yes,2-4yr,36.65
1101,35,87.64,6973.78,Fiber optic,One year,No,No,Yes,Mailed check,0.0,No,2-4yr,1.26
1102,65,120.4,268.03,DSL,Month-to-month,Yes,No,Yes,Credit card,0.0,Yes,4-6yr,44.92
1103,47,87.62,7010.14,No,One year,No,Yes,No,Bank transfer,4.0,No,2-4yr,1.25
1104,3,130.78,4278.6,DSL,One year,Yes,No,Yes,Electronic check,1.0,No,0-1yr,3.06
1105,1,91.75,7518.63,No,Month-to-month,No,No,Yes,Mailed check,3.0,No,0-1yr,1.22
1106,5,92.92,6410.39,No,Two year,nan,No,Yes,Electronic check,0.0,No,0-1yr,1.45
1107,14,133.96,7983.68,Fiber optic,Two year,Yes,No,Yes,Credit card,3.0,No,1-2yr,1.68
1108,27,72.45,2870.62,Fiber optic,One year,nan,nan,No,Electronic check,5.0,No,2-4yr,2.52
1109,9,37.42,6160.79,DSL,One year,No,No,Yes,Bank transfer,9.0,No,0-1yr,0.61
1110,15,23.74,3275.25,DSL,One year,Yes,Yes,Yes,Bank transfer,3.0,No,1-2yr,0.72
1111,42,118.17,3891.02,No,One year,Yes,Yes,Yes,Credit card,0.0,No,2-4yr,3.04
1112,51,100.64,5057.29,No,One year,No,nan,Yes,Electronic check,6.0,No,4-6yr,1.99
1113,63,111.53,7002.05,Fiber optic,Month-to-month,No,No,Yes,Credit card,1.0,No,4-6yr,1.59
1114,52,47.69,7874.26,Fiber optic,One year,No,Yes,No,Electronic check,8.0,Yes,4-6yr,0.61
1115,4,37.73,6169.36,No,Two year,Yes,No,Yes,Mailed check,2.0,No,0-1yr,0.61
1116,23,21.89,3400.36,Fiber optic,One year,Yes,No,Yes,Bank transfer,7.0,Yes,1-2yr,0.64
1117,15,65.58,3428.72,No,Month-to-month,No,No,Yes,Credit card,7.0,No,1-2yr,1.91
1118,43,96.69,5926.9,DSL,Two year,Yes,No,No,Mailed check,2.0,No,2-4yr,1.63
1119,29,70.99,1986.34,DSL,Month-to-month,Yes,Yes,Yes,Mailed check,3.0,No,2-4yr,3.57
1120,36,76.87,972.75,Fiber optic,Month-to-month,Yes,nan,No,Credit card,1.0,No,2-4yr,7.9
1121,13,137.54,2901.52,DSL,Month-to-month,No,No,No,Credit card,3.0,No,1-2yr,4.74
1122,32,65.27,2369.19,DSL,Month-to-month,nan,No,No,Mailed check,8.0,Yes,2-4yr,2.75
1123,71,86.82,2440.83,DSL,Two year,No,No,Yes,Electronic check,1.0,Yes,4-6yr,3.56
1124,59,121.87,1945.5,Fiber optic,One year,nan,No,Yes,Mailed check,2.0,No,4-6yr,6.26
1125,28,71.55,432.54,DSL,Month-to-month,No,No,No,Credit card,3.0,No,2-4yr,16.54
1126,66,100.87,241.2,No,Two year,No,No,No,Mailed check,4.0,No,4-6yr,41.82
1127,42,132.11,7903.01,Fiber optic,Two year,Yes,No,No,Electronic check,0.0,No,2-4yr,1.67
1128,45,143.44,3479.41,Fiber optic,Two year,No,No,Yes,Bank transfer,6.0,Yes,2-4yr,4.12
1129,62,39.12,3136.18,Fiber optic,Month-to-month,nan,nan,Yes,Bank transfer,9.0,No,4-6yr,1.25
1130,57,140.46,5469.21,DSL,One year,No,Yes,Yes,Mailed check,6.0,No,4-6yr,2.57
1131,6,83.98,1824.21,DSL,Two year,No,Yes,No,Electronic check,8.0,No,0-1yr,4.6
1132,28,53.57,7604.69,DSL,Two year,No,nan,Yes,Bank transfer,3.0,No,2-4yr,0.7
1133,28,79.69,6312.13,Fiber optic,Month-to-month,Yes,No,Yes,Mailed check,5.0,No,2-4yr,1.26
1134,44,147.4,806.35,Fiber optic,Month-to-month,No,No,No,Mailed check,1.0,No,2-4yr,18.28
1135,30,84.04,3398.89,DSL,One year,No,Yes,Yes,Electronic check,3.0,No,2-4yr,2.47
1136,62,62.74,7045.03,DSL,Two year,No,No,No,Credit card,1.0,No,4-6yr,0.89
1137,62,102.34,7563.38,No,One year,No,No,Yes,Mailed check,9.0,Yes,4-6yr,1.35
1138,1,51.22,3792.47,Fiber optic,One year,No,No,Yes,Credit card,4.0,No,0-1yr,1.35
1139,27,29.86,4945.95,DSL,Month-to-month,Yes,No,Yes,Credit card,6.0,No,2-4yr,0.6
1140,62,36.75,1419.57,DSL,One year,No,Yes,No,Bank transfer,0.0,Yes,4-6yr,2.59
1141,3,36.65,7930.23,DSL,Two year,Yes,No,Yes,Credit card,9.0,Yes,0-1yr,0.46
1142,70,39.75,1930.21,DSL,Month-to-month,No,No,Yes,Electronic check,9.0,No,4-6yr,2.06
1143,72,38.05,7547.58,DSL,Two year,No,No,No,Bank transfer,6.0,No,4-6yr,0.5
1144,27,103.31,5232.21,No,Two year,No,nan,Yes,Bank transfer,9.0,Yes,2-4yr,1.97
1145,9,43.64,4901.12,Fiber optic,Month-to-month,No,No,Yes,Bank transfer,5.0,No,0-1yr,0.89
1146,62,64.94,4150.24,Fiber optic,One year,No,No,Yes,Mailed check,5.0,No,4-6yr,1.56
1147,37,136.58,1922.29,DSL,Month-to-month,Yes,Yes,Yes,Mailed check,7.0,Yes,2-4yr,7.11
1148,51,81.62,1494.57,DSL,Two year,No,No,No,Credit card,7.0,Yes,4-6yr,5.46
1149,44,106.78,1841.84,Fiber optic,One year,Yes,nan,Yes,Bank transfer,5.0,No,2-4yr,5.8
1150,24,42.4,1572.86,Fiber optic,One year,No,Yes,Yes,Bank transfer,2.0,No,1-2yr,2.7
1151,59,45.0,6258.72,Fiber optic,Two year,Yes,Yes,Yes,Electronic check,4.0,No,4-6yr,0.72
1152,32,25.31,2865.99,No,Month-to-month,Yes,No,No,Credit card,1.0,Yes,2-4yr,0.88
1153,52,41.96,556.96,Fiber optic,Two year,No,Yes,Yes,Electronic check,4.0,No,4-6yr,7.53
1154,62,56.22,7755.91,Fiber optic,One year,Yes,No,Yes,Credit card,8.0,No,4-6yr,0.72
1155,58,43.01,7081.91,Fiber optic,Month-to-month,No,nan,Yes,Credit card,9.0,No,4-6yr,0.61
1156,52,31.53,7429.24,Fiber optic,One year,No,No,Yes,Mailed check,0.0,No,4-6yr,0.42
1157,12,35.68,,Fiber optic,Two year,Yes,No,Yes,Mailed check,9.0,No,0-1yr,0.45
1158,39,79.9,1473.77,DSL,Month-to-month,No,No,Yes,Electronic check,4.0,No,2-4yr,5.42
1159,2,46.82,3230.31,Fiber optic,Two year,Yes,No,No,Credit card,5.0,No,0-1yr,1.45
1160,3,,6090.08,No,Two year,Yes,Yes,Yes,Bank transfer,6.0,Yes,0-1yr,1.11
1161,56,85.44,5598.56,Fiber optic,Month-to-month,No,No,No,Mailed check,8.0,No,4-6yr,1.53
1162,59,109.75,1315.78,DSL,Two year,Yes,No,No,Bank transfer,5.0,Yes,4-6yr,8.34
1163,2,25.11,,No,Month-to-month,No,No,Yes,Electronic check,4.0,No,0-1yr,0.38
1164,2,123.92,1873.08,DSL,Month-to-month,Yes,Yes,Yes,Mailed check,6.0,No,0-1yr,6.62
1165,54,101.63,1868.16,DSL,Month-to-month,Yes,No,Yes,Mailed check,0.0,No,4-6yr,5.44
1166,1,30.63,4342.1,Fiber optic,Two year,No,Yes,No,Credit card,4.0,No,0-1yr,0.71
1167,19,133.57,4784.23,Fiber optic,One year,No,Yes,Yes,Electronic check,1.0,No,1-2yr,2.79
1168,2,139.71,4682.68,DSL,Month-to-month,Yes,No,Yes,Credit card,3.0,No,0-1yr,2.98
1169,53,27.94,822.75,No,One year,No,No,Yes,Mailed check,6.0,No,4-6yr,3.4
1170,44,55.99,7031.94,DSL,One year,Yes,Yes,No,Electronic check,4.0,No,2-4yr,0.8
1171,32,124.81,2198.24,DSL,Month-to-month,No,Yes,No,Mailed check,5.0,Yes,2-4yr,5.68
1172,70,117.27,1123.17,DSL,Two year,No,Yes,Yes,Electronic check,1.0,No,4-6yr,10.44
1173,32,43.99,,DSL,Two year,No,No,No,Mailed check,2.0,No,2-4yr,0.62
1174,68,47.22,7649.65,Fiber optic,One year,No,Yes,Yes,Bank transfer,6.0,No,4-6yr,0.62
1175,55,68.16,6910.81,DSL,Two year,No,Yes,Yes,Bank transfer,1.0,No,4-6yr,0.99
1176,56,82.99,6495.18,No,One year,nan,No,No,Credit card,5.0,Yes,4-6yr,1.28
1177,17,100.37,5276.41,Fiber optic,Two year,No,No,Yes,Bank transfer,4.0,Yes,1-2yr,1.9
1178,38,67.96,4451.77,DSL,One year,nan,No,Yes,Mailed check,9.0,No,2-4yr,1.53
1179,24,80.13,787.2,Fiber optic,One year,Yes,No,Yes,Mailed check,0.0,Yes,1-2yr,10.18
1180,69,117.17,3326.78,DSL,Month-to-month,No,Yes,No,Bank transfer,9.0,No,4-6yr,3.52
1181,70,24.77,3044.24,Fiber optic,Two year,No,nan,No,Credit card,3.0,No,4-6yr,0.81
1182,11,52.82,2152.05,DSL,One year,No,No,No,Bank transfer,1.0,Yes,0-1yr,2.45
1183,16,112.74,5815.02,No,Month-to-month,No,No,No,Electronic check,3.0,No,1-2yr,1.94
1184,59,136.38,4017.42,Fiber optic,Month-to-month,No,No,Yes,Electronic check,0.0,Yes,4-6yr,3.39
1185,70,86.52,740.27,DSL,One year,Yes,nan,Yes,Electronic check,1.0,No,4-6yr,11.69
1186,3,89.17,1839.45,No,One year,Yes,No,Yes,Bank transfer,7.0,Yes,0-1yr,4.85
1187,20,33.93,,No,Two year,No,Yes,Yes,Bank transfer,5.0,Yes,1-2yr,0.62
1188,59,78.16,701.43,Fiber optic,Two year,No,No,Yes,Bank transfer,1.0,No,4-6yr,11.14
1189,36,89.24,6824.53,Fiber optic,Month-to-month,nan,No,No,Electronic check,5.0,No,2-4yr,1.31
1190,19,51.52,4011.66,Fiber optic,Two year,No,No,Yes,Credit card,9.0,No,1-2yr,1.28
1191,67,55.0,3896.63,No,Month-to-month,nan,No,Yes,Mailed check,8.0,No,4-6yr,1.41
1192,19,69.05,4780.02,No,Two year,No,Yes,Yes,Bank transfer,6.0,No,1-2yr,1.44
1193,20,22.61,6614.98,DSL,Two year,Yes,No,Yes,Credit card,8.0,No,1-2yr,0.34
1194,71,61.87,2847.69,No,One year,Yes,nan,No,Mailed check,4.0,No,4-6yr,2.17
1195,52,47.49,5456.33,DSL,Two year,No,No,Yes,Mailed check,6.0,No,4-6yr,0.87
1196,33,62.57,4569.28,DSL,Month-to-month,No,No,Yes,Mailed check,6.0,No,2-4yr,1.37
1197,40,35.57,2209.52,Fiber optic,One year,Yes,No,No,Credit card,2.0,No,2-4yr,1.61
1198,39,135.77,7041.18,No,Two year,No,No,Yes,Credit card,6.0,No,2-4yr,1.93
1199,1,97.17,6399.67,Fiber optic,One year,nan,No,Yes,Electronic check,0.0,No,0-1yr,1.52
1200,11,108.28,5301.77,No,Month-to-month,No,No,Yes,Credit card,8.0,No,0-1yr,2.04
1201,57,122.59,6819.6,No,One year,No,No,Yes,Credit card,9.0,No,4-6yr,1.8
1202,50,84.8,6951.62,DSL,Two year,No,No,No,Credit card,5.0,No,4-6yr,1.22
1203,23,31.3,5696.07,Fiber optic,Month-to-month,Yes,No,No,Mailed check,4.0,No,1-2yr,0.55
1204,31,89.82,6712.41,Fiber optic,Month-to-month,No,Yes,Yes,Bank transfer,6.0,No,2-4yr,1.34
1205,42,96.29,5610.02,Fiber optic,Two year,No,No,No,Electronic check,4.0,Yes,2-4yr,1.72
1206,7,116.91,5473.11,Fiber optic,Two year,Yes,No,Yes,Bank transfer,9.0,No,0-1yr,2.14
1207,16,76.12,4987.03,Fiber optic,Month-to-month,No,No,Yes,Bank transfer,4.0,Yes,1-2yr,1.53
1208,60,36.59,6046.46,No,Month-to-month,No,No,Yes,Credit card,9.0,No,4-6yr,0.61
1209,2,56.89,1352.98,DSL,Month-to-month,No,nan,Yes,Electronic check,,Yes,0-1yr,4.2
1210,1,67.2,7058.88,Fiber optic,Month-to-month,No,Yes,Yes,Bank transfer,9.0,Yes,0-1yr,0.95
1211,48,103.97,6987.56,Fiber optic,One year,Yes,No,No,Bank transfer,6.0,No,2-4yr,1.49
1212,12,94.2,331.05,DSL,Two year,No,No,No,Electronic check,2.0,No,0-1yr,28.45
1213,69,66.29,6623.95,DSL,One year,No,No,Yes,Credit card,2.0,Yes,4-6yr,1.0
1214,37,148.25,1118.07,DSL,One year,No,Yes,Yes,Bank transfer,9.0,No,2-4yr,13.26
1215,32,98.75,2747.44,No,Month-to-month,Yes,No,Yes,Mailed check,2.0,No,2-4yr,3.59
1216,9,50.84,5973.72,DSL,Two year,No,No,Yes,Bank transfer,5.0,Yes,0-1yr,0.85
1217,19,33.23,1370.0,No,One year,No,Yes,Yes,Mailed check,5.0,Yes,1-2yr,2.43
1218,48,39.87,6561.94,No,Two year,Yes,No,Yes,Credit card,2.0,No,2-4yr,0.61
1219,3,51.97,6673.86,Fiber optic,One year,Yes,nan,No,Bank transfer,2.0,No,0-1yr,0.78
1220,20,40.89,4109.0,No,Month-to-month,No,Yes,Yes,Electronic check,7.0,Yes,1-2yr,1.0
1221,24,44.25,150.45,Fiber optic,One year,No,No,Yes,Electronic check,7.0,No,1-2yr,29.41
1222,54,57.06,,No,Month-to-month,No,No,Yes,Bank transfer,6.0,No,4-6yr,2.41
1223,33,42.54,4973.72,Fiber optic,One year,No,No,Yes,Credit card,9.0,No,2-4yr,0.86
1224,24,136.58,7851.37,No,Month-to-month,No,No,Yes,Credit card,3.0,No,1-2yr,1.74
1225,72,30.43,5091.33,No,Month-to-month,No,Yes,No,Electronic check,3.0,No,4-6yr,0.6
1226,36,88.19,2152.45,No,Two year,Yes,Yes,Yes,Bank transfer,2.0,No,2-4yr,4.1
1227,38,73.35,5108.65,No,Month-to-month,No,Yes,No,Credit card,4.0,No,2-4yr,1.44
1228,25,147.71,4365.88,Fiber optic,Two year,Yes,Yes,Yes,Electronic check,2.0,No,2-4yr,3.38
1229,18,34.57,6260.78,Fiber optic,Month-to-month,No,No,Yes,Mailed check,7.0,No,1-2yr,0.55
1230,66,71.72,945.15,DSL,One year,Yes,No,Yes,Bank transfer,6.0,No,4-6yr,7.59
1231,54,146.03,6112.12,Fiber optic,One year,Yes,No,No,Mailed check,2.0,Yes,4-6yr,2.39
1232,35,132.52,4376.01,DSL,One year,No,No,Yes,Mailed check,8.0,No,2-4yr,3.03
1233,61,126.22,7707.64,Fiber optic,Month-to-month,Yes,Yes,No,Credit card,4.0,No,4-6yr,1.64
1234,41,53.53,2800.79,No,Month-to-month,No,No,Yes,Credit card,8.0,No,2-4yr,1.91
1235,33,,5097.71,DSL,Month-to-month,Yes,No,No,Credit card,6.0,No,2-4yr,0.83
1236,68,106.92,7463.02,No,Month-to-month,No,Yes,Yes,Bank transfer,6.0,No,4-6yr,1.43
1237,33,140.82,909.83,Fiber optic,One year,No,No,No,Mailed check,5.0,Yes,2-4yr,15.48
1238,14,92.38,7504.11,No,Two year,Yes,No,Yes,Bank transfer,1.0,No,1-2yr,1.23
1239,21,94.31,5534.3,No,Two year,Yes,No,No,Credit card,8.0,No,1-2yr,1.7
1240,48,56.4,635.91,DSL,Two year,No,No,Yes,Mailed check,5.0,Yes,2-4yr,8.87
1241,20,120.03,2477.61,DSL,Two year,No,No,Yes,Bank transfer,7.0,Yes,1-2yr,4.84
1242,8,44.32,5694.56,No,One year,No,No,Yes,Bank transfer,0.0,No,0-1yr,0.78
1243,7,62.08,632.07,Fiber optic,Month-to-month,No,No,No,Electronic check,4.0,Yes,0-1yr,9.82
1244,67,75.31,4699.15,DSL,Two year,No,nan,Yes,Bank transfer,0.0,Yes,4-6yr,1.6
1245,17,85.99,2832.48,Fiber optic,One year,Yes,nan,No,Credit card,9.0,No,1-2yr,3.04
1246,33,51.51,5005.23,Fiber optic,One year,No,No,Yes,Bank transfer,7.0,No,2-4yr,1.03
1247,48,34.93,461.36,Fiber optic,Month-to-month,nan,No,Yes,Mailed check,7.0,No,2-4yr,7.57
1248,59,99.38,6985.14,Fiber optic,One year,No,No,Yes,Bank transfer,0.0,No,4-6yr,1.42
1249,22,57.52,7790.56,Fiber optic,One year,No,nan,No,Electronic check,8.0,Yes,1-2yr,0.74
1250,30,95.56,7754.14,Fiber optic,Two year,No,No,No,Mailed check,1.0,No,2-4yr,1.23
1251,38,40.07,6022.25,No,One year,No,Yes,No,Mailed check,8.0,No,2-4yr,0.67
1252,51,82.55,1127.68,DSL,Month-to-month,No,No,Yes,Electronic check,0.0,No,4-6yr,7.32
1253,54,,6090.28,No,Two year,No,No,No,Credit card,9.0,No,4-6yr,1.47
1254,8,26.74,294.24,DSL,Month-to-month,nan,No,No,Mailed check,8.0,No,0-1yr,9.09
