ProductID,ProductName,Category,Price,StockQuantity,SupplierID,WarrantyMonths,Rating
2051,Product_2051,Audio,48494.44,461,17,12,2.3
2052,Product_2052,Wearables,38869.07,149,16,6,3.5
2053,Product_2053,Electronics,47005.2,196,12,6,2.7
2054,Product_2054,Accessories,44793.95,302,8,36,2.1
2055,Product_2055,Smart Devices,30096.05,70,20,6,2.1
2056,Product_2056,Audio,46132.77,494,3,6,2.5
2057,Product_2057,Electronics,4880.38,436,16,6,4.6
2058,Product_2058,Smart Devices,10201.15,389,30,6,2.8
2059,Product_2059,Electronics,2738.75,207,45,36,4.9
2060,Product_2060,Audio,16603.85,304,23,6,3.7
2061,Product_2061,Wearables,19739.53,449,28,24,3.3
2062,Product_2062,Accessories,13931.78,328,40,24,3.7
2063,Product_2063,Audio,41522.51,311,5,24,3.6
2064,Product_2064,Wearables,18159.29,353,20,24,4.3
2065,Product_2065,Audio,14406.26,20,40,6,2.8
2066,Product_2066,Home Appliances,27363.46,71,44,24,3.1
2067,Product_2067,Accessories,7475.75,342,1,6,4.7
2068,Product_2068,Electronics,40208.75,235,30,36,4.8
2069,Product_2069,Electronics,4190.26,162,21,24,4.7
2070,Product_2070,Accessories,49350.9,208,20,12,3.3
2071,Product_2071,Home Appliances,38726.12,61,6,24,4.3
2072,Product_2072,Wearables,10336.43,269,22,24,3.4
2073,Product_2073,Electronics,773.34,68,18,6,3.5
2074,Product_2074,Home Appliances,40865.34,81,8,24,2.6
2075,Product_2075,Electronics,35489.44,157,39,12,3.8
2076,Product_2076,Smart Devices,36585.85,358,32,6,2.6
2077,Product_2077,Wearables,38677.88,72,33,6,3
2078,Product_2078,Smart Devices,4165.21,319,16,36,4.6
2079,Product_2079,Accessories,18244.05,382,12,36,2.6
2080,Product_2080,Wearables,6235.52,252,38,24,2.2
2081,Product_2081,Home Appliances,43223.62,375,34,36,2.2
2082,Product_2082,Wearables,31353.26,339,14,36,4.8
2083,Product_2083,Wearables,16879.45,116,36,36,3.5
2084,Product_2084,Home Appliances,3646.14,235,33,6,3.2
2085,Product_2085,Accessories,15893.62,322,23,6,4.4
2086,Product_2086,Wearables,16596.57,227,50,6,4.5
2087,Product_2087,Accessories,36615.51,434,45,36,3
2088,Product_2088,Accessories,32059.09,250,2,6,4.1
2089,Product_2089,Accessories,44417.03,268,41,36,4.3
2090,Product_2090,Electronics,23874.64,385,21,6,4
2091,Product_2091,Audio,6419.92,271,2,6,2.5
2092,Product_2092,Accessories,35805.62,14,27,12,4.6
2093,Product_2093,Home Appliances,38158.86,270,9,24,3.6
2094,Product_2094,Audio,28283.22,63,1,36,2.8
2095,Product_2095,Accessories,38662.88,56,11,12,3.3
2096,Product_2096,Home Appliances,24942.88,224,3,6,2.1
2097,Product_2097,Home Appliances,26375.28,186,23,36,2.4
2098,Product_2098,Smart Devices,21663.28,18,26,6,4.3
2099,Product_2099,Smart Devices,1758.25,108,4,24,2
2100,Product_2100,Wearables,5840.63,29,18,12,3.2
2101,Product_2101,Accessories,2055.74,387,6,24,3.6
2102,Product_2102,Accessories,32002.32,250,35,12,2.2
2103,Product_2103,Audio,16060.62,70,22,6,4.9
2104,Product_2104,Home Appliances,25674.25,388,43,24,2.7
2105,Product_2105,Accessories,45424.54,499,15,24,2.9
2106,Product_2106,Wearables,12839.97,428,22,6,2.9
2107,Product_2107,Electronics,20813.95,187,37,24,2.7
2108,Product_2108,Home Appliances,37899.78,347,42,36,2
2109,Product_2109,Electronics,11825.51,71,12,12,4.2
2110,Product_2110,Wearables,4310.51,154,47,12,4.9
2111,Product_2111,Smart Devices,14842.7,225,49,12,2.7
2112,Product_2112,Wearables,8480.45,12,42,36,4
2113,Product_2113,Electronics,46520.03,169,38,12,4.2
2114,Product_2114,Home Appliances,40501.96,236,18,6,4.5
2115,Product_2115,Audio,31853.49,495,45,24,3.3
2116,Product_2116,Accessories,43637.3,278,35,36,2.9
2117,Product_2117,Wearables,40281.77,129,30,12,3
2118,Product_2118,Home Appliances,9735.22,390,24,6,4.1
2119,Product_2119,Accessories,44681.67,98,42,24,4.5
2120,Product_2120,Smart Devices,27197.44,338,30,24,2.5
2121,Product_2121,Smart Devices,40468.29,77,14,36,3.1
2122,Product_2122,Accessories,44856.52,407,6,36,4.7
2123,Product_2123,Smart Devices,16241.17,366,3,36,4.4
2124,Product_2124,Home Appliances,5947.57,107,16,6,5
2125,Product_2125,Wearables,11782.79,276,7,6,4.3
2126,Product_2126,Home Appliances,21641.84,114,14,36,3.2
2127,Product_2127,Home Appliances,40991.73,449,9,12,3.8
2128,Product_2128,Accessories,43106.16,332,15,24,4
2129,Product_2129,Audio,844.13,132,21,24,2.2
2130,Product_2130,Audio,25781.99,485,35,6,3.6
2131,Product_2131,Wearables,21161.84,38,2,24,4.1
2132,Product_2132,Accessories,11494.34,146,27,12,2.5
2133,Product_2133,Audio,6433.34,204,2,24,4.3
2134,Product_2134,Smart Devices,17211.95,418,35,6,3.8
2135,Product_2135,Audio,47174.03,235,18,6,4.9
2136,Product_2136,Smart Devices,16498.55,341,14,12,2.1
2137,Product_2137,Wearables,26180.14,179,20,12,2.8
2138,Product_2138,Home Appliances,35299.44,18,18,24,3.8
2139,Product_2139,Home Appliances,18499.67,472,10,24,2.9
2140,Product_2140,Audio,48603.21,49,25,6,4.1
2141,Product_2141,Smart Devices,48141.14,34,2,12,4.3
2142,Product_2142,Electronics,12963.22,270,25,12,2.3
2143,Product_2143,Electronics,25113.8,404,33,12,3.5
2144,Product_2144,Electronics,15393.48,452,36,24,3.5
2145,Product_2145,Home Appliances,14599.6,235,31,12,3.1
2146,Product_2146,Accessories,2325.9,481,14,6,4.8
2147,Product_2147,Home Appliances,30673.43,133,1,6,4.5
2148,Product_2148,Accessories,25382.61,472,46,24,4.1
2149,Product_2149,Smart Devices,3048.2,47,16,36,4.1
2150,Product_2150,Audio,14293,337,46,24,3.4
2151,Product_2151,Electronics,45459.16,260,3,36,4.8
2152,Product_2152,Smart Devices,12358.31,398,35,12,4.1
2153,Product_2153,Smart Devices,7672.3,185,41,24,4.2
2154,Product_2154,Audio,24727.91,99,6,6,4.6
2155,Product_2155,Smart Devices,49289.7,411,25,12,2.8
2156,Product_2156,Audio,12481.74,463,13,6,4.4
2157,Product_2157,Wearables,33770.71,46,34,12,2.6
2158,Product_2158,Audio,38200.17,325,8,24,3
2159,Product_2159,Electronics,12263.06,185,21,36,3
2160,Product_2160,Accessories,36546.71,470,34,12,4.9
2161,Product_2161,Accessories,18705.27,293,4,36,4.6
2162,Product_2162,Electronics,31799.14,462,25,12,4.1
2163,Product_2163,Accessories,31859.72,470,15,6,4.2
2164,Product_2164,Audio,27020.85,90,4,6,3.7
2165,Product_2165,Wearables,4969.34,123,45,12,4.8
2166,Product_2166,Accessories,41847.47,49,12,36,3.5
2167,Product_2167,Wearables,16378.61,310,32,24,3.1
2168,Product_2168,Electronics,9732.67,233,32,24,2.5
2169,Product_2169,Wearables,2518.37,327,28,6,4.4
2170,Product_2170,Smart Devices,29749.2,358,13,24,4.2
2171,Product_2171,Home Appliances,34039.44,124,31,6,3.2
2172,Product_2172,Smart Devices,1321.1,195,14,24,2.1
2173,Product_2173,Electronics,25848.61,332,20,12,4.5
2174,Product_2174,Accessories,11711.54,65,18,6,2
2175,Product_2175,Accessories,32436.05,49,29,6,4.1
2176,Product_2176,Wearables,9131.14,363,6,12,4.9
2177,Product_2177,Audio,34701.42,49,32,6,3.3
2178,Product_2178,Home Appliances,19643.4,356,29,24,2.7
2179,Product_2179,Audio,46868.13,470,43,24,4.1
2180,Product_2180,Electronics,7307.29,246,2,6,4.5
2181,Product_2181,Accessories,17382.78,298,23,24,3.6
2182,Product_2182,Wearables,6116.94,271,19,36,4.9
2183,Product_2183,Accessories,46272.33,225,31,6,2.2
2184,Product_2184,Audio,43928.3,156,5,12,3.5
2185,Product_2185,Audio,13268.11,345,19,36,4.2
2186,Product_2186,Home Appliances,33169.21,177,34,6,4.6
2187,Product_2187,Home Appliances,40952.5,101,10,12,2.5
2188,Product_2188,Wearables,27982.44,362,25,24,4.4
2189,Product_2189,Home Appliances,26717.7,68,2,12,3.7
2190,Product_2190,Audio,12471.69,68,11,36,3.2
2191,Product_2191,Audio,5108.59,313,50,24,2.4
2192,Product_2192,Electronics,44912.18,178,31,6,4.6
2193,Product_2193,Audio,45070.69,278,15,24,2.5
2194,Product_2194,Wearables,31838.52,372,9,6,2.9
2195,Product_2195,Smart Devices,17281.97,54,23,6,2.9
2196,Product_2196,Electronics,17785.87,354,19,12,4.6
2197,Product_2197,Electronics,36434.81,190,9,12,4
2198,Product_2198,Wearables,44906.96,179,35,12,4.4
2199,Product_2199,Wearables,44410.78,365,21,36,2.8
2200,Product_2200,Home Appliances,39103.84,200,9,36,3.9
2201,Product_2201,Electronics,32280.57,164,28,12,3.7
2202,Product_2202,Home Appliances,4664.93,431,46,36,4.5
2203,Product_2203,Audio,8500.62,197,7,24,4.7
2204,Product_2204,Electronics,44978.43,16,16,24,2
2205,Product_2205,Electronics,30518.24,142,16,36,4
2206,Product_2206,Accessories,955.25,244,33,36,2.2
2207,Product_2207,Smart Devices,5522.84,54,4,24,3.6
2208,Product_2208,Electronics,33343.34,323,4,6,2.9
2209,Product_2209,Audio,750.55,258,39,24,2.9
2210,Product_2210,Home Appliances,8460,40,40,24,3.1
2211,Product_2211,Home Appliances,27662.32,32,17,36,3.9
2212,Product_2212,Accessories,34748.81,435,37,24,3
2213,Product_2213,Smart Devices,32772.08,403,39,36,4.2
2214,Product_2214,Audio,11601.33,169,29,36,3.2
2215,Product_2215,Home Appliances,35752.87,372,36,12,2.2
2216,Product_2216,Wearables,12243.83,446,38,24,4.4
2217,Product_2217,Audio,16607.29,167,39,6,2.9
2218,Product_2218,Audio,37451.32,48,50,12,3.3
2219,Product_2219,Smart Devices,32656.83,424,37,36,4.1
2220,Product_2220,Home Appliances,42536.56,91,35,36,3
2221,Product_2221,Audio,33051.84,365,7,6,2.2
2222,Product_2222,Accessories,28631.28,267,27,36,3.1
2223,Product_2223,Accessories,5136.9,215,28,24,4.8
2224,Product_2224,Home Appliances,18701.93,86,22,12,3.9
2225,Product_2225,Accessories,13627.52,486,14,36,4
2226,Product_2226,Wearables,12577.49,21,7,36,3.9
2227,Product_2227,Smart Devices,48664.02,304,37,6,2.6
2228,Product_2228,Accessories,19958.34,459,22,24,3.3
2229,Product_2229,Accessories,44656.3,233,5,36,4.3
2230,Product_2230,Wearables,31741.36,22,2,6,2.3
2231,Product_2231,Smart Devices,39843.16,55,27,36,2.8
2232,Product_2232,Audio,25380.54,164,21,6,2.8
2233,Product_2233,Smart Devices,29056.74,122,38,6,3.3
2234,Product_2234,Electronics,24879.63,242,15,24,4.9
2235,Product_2235,Home Appliances,10164.53,26,21,36,2.2
2236,Product_2236,Home Appliances,36261.38,369,10,24,3.6
2237,Product_2237,Electronics,14398.23,232,23,6,2.5
2238,Product_2238,Wearables,1703.64,363,39,12,4.9
2239,Product_2239,Electronics,32450.88,197,5,36,2.3
2240,Product_2240,Audio,9266.98,457,1,12,3.2
2241,Product_2241,Audio,47052.7,353,13,36,4.2
2242,Product_2242,Home Appliances,47719.46,374,21,24,4.1
2243,Product_2243,Audio,45785.79,172,26,24,3.3
2244,Product_2244,Home Appliances,18822.86,335,50,24,3
2245,Product_2245,Electronics,1265.1,476,45,24,3.2
2246,Product_2246,Electronics,46451.77,423,21,24,2.8
2247,Product_2247,Accessories,21695.12,464,18,12,2.6
2248,Product_2248,Accessories,48349.41,83,37,24,3.4
2249,Product_2249,Electronics,48199.19,242,45,6,2.8
2250,Product_2250,Home Appliances,42723.97,233,32,6,2.9
2251,Product_2251,Electronics,15075.22,491,36,12,4
2252,Product_2252,Electronics,19562.34,328,17,36,4.9
2253,Product_2253,Wearables,42631.27,421,35,6,3.8
2254,Product_2254,Electronics,16187.64,69,49,36,2.2
2255,Product_2255,Audio,8889.89,344,11,12,2.2
2256,Product_2256,Home Appliances,28061.66,231,21,36,4.9
2257,Product_2257,Wearables,46839.66,46,26,36,2.9
2258,Product_2258,Accessories,34953.47,486,4,36,2.3
2259,Product_2259,Smart Devices,28718.03,287,34,36,3.8
2260,Product_2260,Home Appliances,5310.24,205,48,12,3.9
2261,Product_2261,Audio,30942.86,413,18,6,3.9
2262,Product_2262,Home Appliances,49507.67,361,40,24,2.8
2263,Product_2263,Accessories,7434.16,493,35,36,2
2264,Product_2264,Audio,26157.32,251,41,6,4.9
2265,Product_2265,Audio,43929.97,333,29,6,2.8
2266,Product_2266,Smart Devices,37168.05,228,29,12,4
2267,Product_2267,Home Appliances,35002.28,201,38,6,4.1
2268,Product_2268,Smart Devices,35272.96,26,42,12,3.8
2269,Product_2269,Smart Devices,18294.81,21,21,36,2.9
2270,Product_2270,Home Appliances,15032.8,415,42,36,2.8
2271,Product_2271,Electronics,40563.38,410,13,24,3.8
2272,Product_2272,Electronics,40600.61,403,49,24,4.6
2273,Product_2273,Accessories,43420.08,383,41,24,4.8
2274,Product_2274,Smart Devices,45705.41,202,17,6,2.3
2275,Product_2275,Wearables,25811.45,31,9,36,2.5
2276,Product_2276,Smart Devices,25325.06,483,41,12,4.8
2277,Product_2277,Smart Devices,40015.61,129,1,24,4.2
2278,Product_2278,Smart Devices,32673.21,219,2,12,4.6
2279,Product_2279,Accessories,35247.36,315,48,12,2.6
2280,Product_2280,Electronics,39891.74,279,29,24,3.8
2281,Product_2281,Accessories,44555.26,201,33,36,4.1
2282,Product_2282,Accessories,17230.76,184,10,24,4
2283,Product_2283,Accessories,19091.36,294,50,12,3.2
2284,Product_2284,Electronics,5152.11,213,40,24,2
2285,Product_2285,Electronics,29124.87,173,21,12,3.7
2286,Product_2286,Smart Devices,2279.14,260,28,12,2.8
2287,Product_2287,Accessories,23547.1,236,11,24,3.4
2288,Product_2288,Wearables,27360.91,445,34,6,4.9
2289,Product_2289,Electronics,14683.79,390,8,24,3.2
2290,Product_2290,Home Appliances,29746.25,469,22,6,4.5
2291,Product_2291,Home Appliances,2009.76,16,8,12,2.6
2292,Product_2292,Home Appliances,2348.74,38,49,12,4
2293,Product_2293,Audio,41218.73,404,15,6,4.9
2294,Product_2294,Smart Devices,18329.44,42,17,12,2.3
2295,Product_2295,Home Appliances,6789.5,143,23,6,2
2296,Product_2296,Smart Devices,26351.04,376,24,6,3.3
2297,Product_2297,Home Appliances,38614.68,88,45,12,2.3
2298,Product_2298,Wearables,11183.14,425,19,36,4.2
2299,Product_2299,Smart Devices,31333.08,444,5,6,4.7
2300,Product_2300,Home Appliances,4724.7,468,32,24,3.3
2301,Product_2301,Electronics,3058.25,67,44,24,2.8
2302,Product_2302,Smart Devices,26802.05,480,1,12,3.3
2303,Product_2303,Audio,27261.44,35,23,36,4.2
2304,Product_2304,Electronics,32052.78,491,37,12,2
2305,Product_2305,Electronics,36441.52,439,8,36,3.8
2306,Product_2306,Accessories,48804.68,235,13,6,3.8
2307,Product_2307,Audio,26056.87,294,8,6,3.9
2308,Product_2308,Electronics,16486.35,13,23,6,2.7
2309,Product_2309,Electronics,39861.72,474,43,6,4.1
2310,Product_2310,Home Appliances,13906.2,108,1,24,2.3
2311,Product_2311,Home Appliances,22229.09,406,45,24,2.6
2312,Product_2312,Smart Devices,4383.59,498,24,12,4.6
2313,Product_2313,Smart Devices,1754.86,48,35,36,4.2
2314,Product_2314,Smart Devices,48151.1,280,24,6,2
2315,Product_2315,Home Appliances,41881.02,384,17,6,2.7
2316,Product_2316,Smart Devices,34950.72,294,5,36,2.6
2317,Product_2317,Electronics,20743.17,166,20,36,2.8
2318,Product_2318,Home Appliances,9078.07,84,21,12,2.7
2319,Product_2319,Smart Devices,8243.63,381,40,36,2.2
2320,Product_2320,Electronics,12887.02,297,31,6,3.4
2321,Product_2321,Smart Devices,27686.72,139,46,6,4.2
2322,Product_2322,Wearables,35872.5,184,36,6,3.8
2323,Product_2323,Smart Devices,33179.77,471,11,6,4
2324,Product_2324,Wearables,14356.73,93,15,6,2.2
2325,Product_2325,Smart Devices,47765.83,31,19,12,4.9
2326,Product_2326,Accessories,37025.9,468,7,6,4.5
2327,Product_2327,Accessories,27940.53,36,28,12,4.4
2328,Product_2328,Audio,30780.18,204,43,6,4.5
2329,Product_2329,Accessories,21270.2,346,5,24,4.8
2330,Product_2330,Accessories,12762.68,391,5,24,3.6
2331,Product_2331,Smart Devices,18120.65,245,30,24,2.6
2332,Product_2332,Home Appliances,38013.38,449,32,24,3.9
2333,Product_2333,Home Appliances,1212.48,101,8,12,4.2
2334,Product_2334,Wearables,6245.6,486,10,12,4.2
2335,Product_2335,Home Appliances,2777.13,30,38,36,3.6
2336,Product_2336,Electronics,2516.08,312,47,6,2.2
2337,Product_2337,Audio,42845.3,473,32,24,3.1
2338,Product_2338,Accessories,35331.06,366,48,12,4.8
2339,Product_2339,Audio,23971.6,452,28,6,3.8
2340,Product_2340,Electronics,5342.79,93,17,6,3.6
2341,Product_2341,Accessories,24834.99,271,31,12,2.8
2342,Product_2342,Wearables,23936.85,156,8,24,3.1
2343,Product_2343,Electronics,9073.49,450,40,36,4.7
2344,Product_2344,Electronics,21975.66,462,25,6,4
2345,Product_2345,Audio,20225.98,396,9,36,4.4
2346,Product_2346,Smart Devices,30984.58,266,2,24,3.4
2347,Product_2347,Audio,31937.14,67,15,24,3.9
2348,Product_2348,Audio,2742.55,389,50,36,2.7
2349,Product_2349,Home Appliances,19043.32,431,3,24,4.1
2350,Product_2350,Electronics,31480.07,24,49,6,3.3
2351,Product_2351,Audio,25405.24,171,36,36,3.3
2352,Product_2352,Electronics,42896.25,454,4,24,3.9
2353,Product_2353,Home Appliances,33105.33,172,14,36,4.8
2354,Product_2354,Electronics,8565.25,329,41,6,2.2
2355,Product_2355,Audio,3993.15,290,41,24,4.5
2356,Product_2356,Electronics,32299.75,289,25,6,2.9
2357,Product_2357,Accessories,1812.31,21,50,24,3.3
2358,Product_2358,Home Appliances,29495.89,283,10,12,2.1
2359,Product_2359,Smart Devices,47041.4,280,21,24,2.9
2360,Product_2360,Electronics,28985.97,217,36,36,3.5
2361,Product_2361,Audio,19714.41,36,12,24,2.2
2362,Product_2362,Home Appliances,32342.77,81,27,6,3.5
2363,Product_2363,Audio,23183.52,69,40,6,4.8
2364,Product_2364,Audio,27508.03,439,2,24,2.3
2365,Product_2365,Electronics,47102.51,482,13,36,4.3
2366,Product_2366,Audio,19612.08,154,32,12,3.2
2367,Product_2367,Electronics,48078.93,102,31,36,4
2368,Product_2368,Smart Devices,45314.86,318,16,12,2.8
2369,Product_2369,Accessories,10191.66,17,32,6,2.5
2370,Product_2370,Audio,3933.38,88,32,36,2.5
2371,Product_2371,Audio,5488.51,36,34,12,2.2
2372,Product_2372,Audio,1401.98,183,11,24,2.6
2373,Product_2373,Wearables,5174.93,59,10,6,4
2374,Product_2374,Wearables,34308.84,208,15,24,4.6
2375,Product_2375,Home Appliances,4023.84,396,17,6,4.4
2376,Product_2376,Accessories,16289.29,358,40,36,4.1
2377,Product_2377,Accessories,42321.33,457,18,36,2.3
2378,Product_2378,Wearables,1651.96,437,9,6,2.9
2379,Product_2379,Home Appliances,40816.19,190,25,6,2.9
2380,Product_2380,Wearables,14451.81,33,40,6,2.7
2381,Product_2381,Smart Devices,6349.16,325,14,36,3.5
2382,Product_2382,Home Appliances,34988.49,387,25,12,3.6
2383,Product_2383,Accessories,31632.67,396,50,24,3.1
2384,Product_2384,Accessories,43934.86,413,22,24,3.1
2385,Product_2385,Wearables,36886.02,55,30,36,4.5
2386,Product_2386,Smart Devices,40272.31,24,20,24,4.4
2387,Product_2387,Wearables,14460.71,162,21,6,2.9
2388,Product_2388,Electronics,9283.26,231,44,12,4.7
2389,Product_2389,Electronics,37655.43,215,32,24,4.9
2390,Product_2390,Smart Devices,40438.32,464,46,12,3
2391,Product_2391,Audio,49530,282,49,6,3.1
2392,Product_2392,Audio,20924.58,391,21,24,3.5
2393,Product_2393,Electronics,18914.9,245,35,36,4.8
2394,Product_2394,Electronics,38932.44,349,32,12,4.6
2395,Product_2395,Audio,17369.78,237,30,6,2.3
2396,Product_2396,Home Appliances,46572.49,18,39,12,3.2
2397,Product_2397,Audio,42991.43,175,49,24,3.7
2398,Product_2398,Wearables,21735.2,441,12,24,3.5
2399,Product_2399,Home Appliances,37668.12,453,41,36,2.6
2400,Product_2400,Wearables,37849.87,328,47,6,4.6
2401,Product_2401,Electronics,5604.63,223,18,6,4
2402,Product_2402,Home Appliances,45176.37,126,21,36,4.5
2403,Product_2403,Wearables,25509.99,395,13,36,4.6
2404,Product_2404,Wearables,41409.64,353,21,6,4.2
2405,Product_2405,Home Appliances,16342.46,81,8,12,3.3
2406,Product_2406,Smart Devices,44828.4,404,46,12,3.8
2407,Product_2407,Audio,19765.48,73,40,36,2.5
2408,Product_2408,Accessories,1036.46,214,46,12,4
2409,Product_2409,Wearables,45316.41,218,7,6,2.5
2410,Product_2410,Audio,5018.69,81,23,24,4.1
2411,Product_2411,Accessories,16306.03,286,44,24,2.7
2412,Product_2412,Audio,47528.07,283,32,12,2.4
2413,Product_2413,Electronics,47555.05,487,11,36,2.5
2414,Product_2414,Accessories,28885.18,329,22,36,2
2415,Product_2415,Audio,31775.94,347,22,36,4.2
2416,Product_2416,Wearables,22698.05,375,43,36,4.2
2417,Product_2417,Accessories,15013.93,104,25,36,3.5
2418,Product_2418,Electronics,16768.89,175,22,12,2.5
2419,Product_2419,Home Appliances,33789.66,41,28,24,2.3
2420,Product_2420,Wearables,37742.54,20,29,24,2.1
2421,Product_2421,Electronics,39683.16,310,13,12,2.5
2422,Product_2422,Electronics,39586.1,226,18,36,4.7
2423,Product_2423,Accessories,5014.7,298,2,12,2.7
2424,Product_2424,Audio,24973.81,111,29,24,3.1
2425,Product_2425,Home Appliances,3349.16,434,21,6,2.3
2426,Product_2426,Wearables,27701.68,401,15,12,2.7
2427,Product_2427,Wearables,22355.76,276,27,36,3.6
2428,Product_2428,Audio,44441.36,223,50,24,3.8
2429,Product_2429,Home Appliances,17870.29,188,31,24,2.7
2430,Product_2430,Accessories,6294.82,97,15,24,2.2
2431,Product_2431,Wearables,7578.09,50,23,24,3.2
2432,Product_2432,Home Appliances,38194.78,410,24,36,2.7
2433,Product_2433,Accessories,31101.79,85,44,6,2.7
2434,Product_2434,Accessories,5505.57,386,13,24,4.9
2435,Product_2435,Wearables,4663.29,55,22,12,3.8
2436,Product_2436,Audio,35197.97,169,43,6,3.7
2437,Product_2437,Smart Devices,4101.77,472,37,24,3.2
2438,Product_2438,Wearables,41182.07,89,33,6,3.3
2439,Product_2439,Electronics,35458.99,319,3,12,3.6
2440,Product_2440,Electronics,4526.76,95,19,24,4.1
2441,Product_2441,Accessories,4699.47,101,23,12,4.1
2442,Product_2442,Smart Devices,49338.66,157,29,36,2.5
2443,Product_2443,Wearables,19026.4,170,30,24,3.5
2444,Product_2444,Electronics,18846.79,211,39,24,3.2
2445,Product_2445,Electronics,40733.58,433,44,24,4.6
2446,Product_2446,Wearables,47388.8,425,47,24,3.9
2447,Product_2447,Home Appliances,49307.05,251,25,36,3.6
2448,Product_2448,Accessories,37792.22,362,37,24,2.3
2449,Product_2449,Wearables,19124.85,11,47,6,3.8
2450,Product_2450,Home Appliances,4633.29,234,8,24,2.4
2451,Product_2451,Accessories,38968.77,298,42,36,3
2452,Product_2452,Smart Devices,28141.01,242,16,24,2.4
2453,Product_2453,Audio,21498.99,470,8,6,4.1
2454,Product_2454,Accessories,45364.54,423,1,36,2.6
2455,Product_2455,Smart Devices,6004.28,426,44,36,3.2
2456,Product_2456,Audio,24884.94,86,5,6,4.7
2457,Product_2457,Electronics,1062.01,125,3,6,2.6
2458,Product_2458,Electronics,23698.7,163,1,6,3.5
2459,Product_2459,Electronics,3287.01,415,4,6,3.3
2460,Product_2460,Accessories,6381.49,112,40,6,2.1
2461,Product_2461,Home Appliances,6317.55,203,35,36,4.4
2462,Product_2462,Audio,32635.91,175,32,36,2.2
2463,Product_2463,Electronics,37429.22,368,42,24,3.4
2464,Product_2464,Wearables,29376.75,99,34,24,3.7
2465,Product_2465,Audio,48127.54,183,43,12,3.9
2466,Product_2466,Audio,19056.09,131,25,24,4.1
2467,Product_2467,Home Appliances,14642.75,152,10,24,2.8
2468,Product_2468,Smart Devices,43495.66,491,21,6,2
2469,Product_2469,Home Appliances,11567.99,115,46,6,4.2
2470,Product_2470,Electronics,48179.52,384,39,24,3.6
2471,Product_2471,Wearables,1101.65,437,27,12,4.5
2472,Product_2472,Wearables,48509,314,27,6,4.5
2473,Product_2473,Electronics,2636.42,369,2,24,4.5
2474,Product_2474,Wearables,44611.58,468,41,24,3.5
2475,Product_2475,Home Appliances,26621.2,326,48,36,3
