CustomerID,LastPurchaseDate,InactiveDays,ChurnProbability,CustomerValue,PurchaseFrequency,ChurnStatus
CUST_2022,4/20/2022,121,0.38,22532.78,31,At Risk
CUST_7271,10/14/2021,346,0.76,6100.23,32,At Risk
CUST_7366,5/11/2020,288,0.67,17893.26,44,Active
CUST_6450,7/22/2023,132,0.53,49912.01,39,Active
CUST_1984,2/20/2021,84,0.1,44497.7,9,Active
CUST_5230,4/24/2022,286,0.81,2892.06,41,Churned
CUST_5336,6/30/2021,130,0.87,28381.16,8,At Risk
CUST_3915,8/10/2021,227,0.17,32567.2,14,Active
CUST_8218,8/16/2023,330,0.85,10871.96,33,At Risk
CUST_2137,11/24/2020,255,0.88,7682.73,23,At Risk
CUST_9056,6/9/2021,266,0.55,45266.87,21,Active
CUST_4287,11/7/2023,55,0.66,48456.41,12,Active
CUST_7432,5/16/2023,150,0.38,49598.7,2,Churned
CUST_3923,4/28/2021,211,0.28,39593.21,13,At Risk
CUST_9061,4/11/2022,228,0.72,33343.35,4,Active
CUST_2776,5/3/2021,331,0.86,17613.65,20,Active
CUST_3357,8/20/2020,284,0.65,8984.22,48,Churned
CUST_9857,11/3/2020,151,0.51,4409.54,14,At Risk
CUST_8065,1/28/2021,60,0.16,34818.22,30,Active
CUST_4578,2/26/2020,344,0.05,39343.81,29,Active
CUST_2740,5/17/2021,314,0.45,41409.46,8,At Risk
CUST_8234,9/27/2021,135,0.05,45731.37,12,At Risk
CUST_5243,8/8/2022,253,0.57,44056.51,41,Churned
CUST_2692,9/21/2022,302,0.38,49987.19,38,At Risk
CUST_1571,2/20/2023,261,0.76,12581.17,26,Churned
CUST_2194,6/12/2022,285,0.31,38283.73,2,At Risk
CUST_2153,5/14/2022,53,0.59,29529.75,40,At Risk
CUST_5105,8/17/2023,138,0.54,13431.63,14,At Risk
CUST_8305,3/16/2020,220,0,49104.31,6,At Risk
CUST_1307,2/17/2021,54,0.07,44945.96,42,Churned
CUST_9154,11/22/2020,216,0.29,6861.53,40,Churned
CUST_3438,7/12/2021,317,0.88,1794.84,31,Active
CUST_1014,10/6/2020,145,0.15,34572.37,17,Active
CUST_1619,2/29/2020,66,0.71,30404.47,25,Churned
CUST_7397,6/13/2021,311,0.97,46822.87,32,Churned
CUST_5365,7/22/2021,166,0.79,12083.26,12,At Risk
CUST_3483,9/10/2023,256,0.24,4677.2,49,At Risk
CUST_6403,2/1/2023,349,0.91,13331.16,13,Churned
CUST_7411,12/26/2020,357,0.09,1436.92,19,At Risk
CUST_1060,8/12/2023,211,0.47,2276.69,44,Active
CUST_9444,3/27/2020,115,0.89,45785.46,48,Churned
CUST_9039,9/22/2022,82,0.64,17924.82,25,At Risk
CUST_8833,2/10/2020,264,0.41,20835.05,31,Active
CUST_8144,4/23/2020,296,0.29,1409.4,37,Churned
CUST_7617,6/20/2020,316,0.38,13890.83,25,Churned
CUST_2148,10/4/2021,129,0.51,40333.94,16,Churned
CUST_9849,5/17/2023,116,0.32,30966.8,38,At Risk
CUST_4700,9/2/2021,44,0.97,37812.14,43,At Risk
CUST_1054,5/10/2020,130,0.93,22637.08,49,Active
CUST_7298,4/13/2022,194,0.87,15831.6,23,At Risk
CUST_8898,1/14/2022,58,0.42,24399.1,14,At Risk
CUST_2985,10/7/2023,143,0.69,16492.02,6,Churned
CUST_9770,9/8/2023,136,0.9,42029.07,25,Active
CUST_6880,7/3/2020,159,0.85,15234.85,23,Churned
CUST_6463,3/23/2022,113,0.41,33158.3,43,At Risk
CUST_5961,10/14/2020,300,0.11,7280.62,12,Churned
CUST_7563,4/28/2021,273,0.08,34499.89,13,At Risk
CUST_1904,8/17/2020,243,0.58,45708.34,36,Churned
CUST_2485,3/15/2023,335,0.64,30624.87,39,Active
CUST_6985,10/21/2022,195,0.85,28212.84,34,Active
CUST_9759,9/4/2020,308,0.29,48075.35,6,Churned
CUST_6571,12/4/2022,88,0.17,31556.13,38,Active
CUST_2318,9/22/2023,119,0.38,13347.75,40,Churned
CUST_8530,4/3/2023,360,0.35,14973.36,8,Churned
CUST_5750,12/11/2022,223,0.13,35412.68,8,Churned
CUST_4327,5/30/2021,152,0.67,36904.11,40,At Risk
CUST_3893,10/13/2022,165,0.51,15523.06,33,Churned
CUST_1644,7/3/2020,168,0.72,17594.53,34,Churned
CUST_7294,5/2/2021,258,0.35,49557.3,44,Active
CUST_4129,5/13/2023,303,0.33,5546.65,15,Churned
CUST_5896,9/7/2020,79,0.47,20529.93,36,Churned
CUST_7391,10/3/2021,147,0.88,3591.15,35,Active
CUST_2749,11/5/2021,231,0.04,41143.38,46,Active
CUST_6886,4/11/2023,220,0.8,5071.12,22,Churned
CUST_8970,3/9/2022,352,0.37,33863.36,23,Churned
CUST_2390,4/28/2021,210,0.85,3295.93,40,Churned
CUST_8175,5/16/2022,107,0.8,33806.32,45,Active
CUST_4104,3/22/2021,104,0.35,42230.33,22,Churned
CUST_3292,10/22/2020,324,0.69,20241.67,5,Churned
CUST_1584,8/6/2020,310,0.16,26345.26,31,Active
CUST_4163,12/24/2020,50,0.9,20376.32,13,At Risk
CUST_1415,3/14/2021,200,0.4,15374.19,28,Churned
CUST_4907,7/16/2021,44,0.46,40261.54,20,Active
CUST_9015,6/19/2022,240,0.71,13964.13,33,Active
CUST_7369,4/16/2022,77,0.82,36285.7,16,Churned
CUST_2032,6/4/2021,115,0.24,10706.76,29,Churned
CUST_9856,4/22/2023,178,0.66,12867.76,23,Active
CUST_6041,4/24/2020,217,0.39,17154.83,24,Active
CUST_9186,10/1/2022,335,0.37,29663.24,34,At Risk
CUST_9748,12/28/2022,180,0.69,22993.9,7,Active
CUST_8361,2/6/2022,170,0.39,37384.67,38,Active
CUST_1268,12/3/2023,98,0.35,11071.58,37,Churned
CUST_1606,8/19/2020,289,0.84,1028.28,4,Churned
CUST_6558,10/10/2021,363,0.1,38939.59,34,At Risk
CUST_1918,1/22/2023,38,0.68,41171.64,42,Active
CUST_6533,5/17/2022,150,0.25,3444.27,22,Churned
CUST_1701,8/30/2022,130,0.02,30739.92,5,Churned
CUST_7643,10/30/2023,178,0.17,19221.24,42,At Risk
CUST_2936,5/19/2021,175,0.61,39797.83,23,At Risk
CUST_4468,7/22/2021,272,0.71,43783.52,15,Churned
CUST_9570,10/23/2020,270,0.02,42624.69,31,Active
CUST_8509,1/13/2022,72,0.04,38971.61,9,At Risk
CUST_9791,8/31/2022,124,0.9,13818.09,43,Active
CUST_3440,1/23/2022,255,0.07,40688.54,25,At Risk
CUST_4817,9/23/2021,35,0.89,26907.18,25,At Risk
CUST_2180,2/13/2020,243,0.23,3111.45,49,Active
CUST_1604,8/14/2023,235,0.74,23118.47,21,At Risk
CUST_3319,5/25/2023,96,0.31,47136.82,9,Active
CUST_9010,3/12/2020,129,0.86,44449.04,48,Churned
CUST_1312,9/18/2023,41,0.7,5562.08,38,At Risk
CUST_8720,4/21/2020,266,0.4,37334.27,22,At Risk
CUST_1750,11/15/2023,351,0.08,40386.75,43,At Risk
CUST_4976,10/7/2023,287,0.73,13933.72,23,Active
CUST_3138,5/5/2021,164,0.62,23844.62,49,Active
CUST_1235,6/2/2021,251,0,35693.9,4,Active
CUST_3822,2/5/2023,185,0.01,22232.55,29,Churned
CUST_1818,2/26/2022,171,0.81,6083.45,15,Active
CUST_6035,9/25/2021,187,0.26,35441.18,1,At Risk
CUST_2594,8/1/2023,355,0.64,45626.12,30,Active
CUST_8474,12/5/2023,291,0.45,32797.99,29,Active
CUST_3796,1/13/2022,312,0.86,38803.14,20,At Risk
CUST_2047,11/4/2023,258,0.92,18238.95,33,Active
CUST_2742,9/6/2020,309,1,9568.31,41,Active
CUST_2870,12/31/2022,319,0.15,32317.3,44,At Risk
CUST_9145,4/29/2021,197,0.86,16724.67,36,At Risk
CUST_4613,6/25/2022,76,0.27,43073.64,22,Churned
CUST_2033,3/6/2022,232,0.59,6570.09,13,Active
CUST_4320,1/17/2020,243,0.51,21956.45,7,Active
CUST_7983,3/15/2022,275,0.02,20138.02,8,Churned
CUST_6527,6/7/2021,53,0.93,46933.67,28,At Risk
CUST_7586,9/8/2021,350,0.08,8080.17,45,Active
CUST_6312,7/3/2020,303,0.69,987.42,43,Active
CUST_2979,4/27/2021,73,0.79,12285.22,9,Churned
CUST_9943,9/1/2021,361,0.8,41103.7,25,Active
CUST_3250,3/6/2021,342,0.14,10861.43,16,At Risk
CUST_6268,11/24/2020,185,0.45,12423.46,10,At Risk
CUST_4493,6/17/2022,228,0.83,6929.99,11,Active
CUST_1746,7/17/2023,191,0.3,35914.09,31,At Risk
CUST_3841,10/11/2021,263,0.47,3924.12,12,Active
CUST_6496,8/12/2023,192,0.27,16894.81,31,At Risk
CUST_2035,4/12/2022,145,0.46,14483.69,14,At Risk
CUST_2978,3/10/2020,122,0.89,27980.41,44,At Risk
CUST_5487,7/15/2021,71,0.46,36655.61,32,At Risk
CUST_3314,6/13/2020,313,0.56,26877.38,17,Active
CUST_7801,10/3/2022,239,0.4,46585.79,35,Active
CUST_3753,8/22/2022,235,0.46,47596.41,1,Active
CUST_7060,4/25/2022,249,0.02,18392.53,29,Active
CUST_3703,11/12/2021,309,0.28,38995.18,4,Churned
CUST_8187,5/15/2022,165,0.44,37070.67,23,Churned
CUST_4991,7/24/2020,135,0.63,44701.75,28,Active
CUST_1666,11/24/2020,147,0.45,22673.21,16,At Risk
CUST_3185,12/1/2023,266,0.34,26758.42,12,Churned
CUST_2637,6/18/2021,338,0.39,21080.83,21,Churned
CUST_7162,11/2/2022,129,0.24,42593.66,45,At Risk
CUST_3584,5/15/2020,290,0.92,11870.26,17,Active
CUST_1256,12/21/2021,334,0.52,12365.6,40,At Risk
CUST_8978,5/11/2022,315,0.01,18943.95,13,Active
CUST_2322,5/18/2023,357,0.02,11901.97,32,At Risk
CUST_1104,1/26/2023,132,0.97,28269.84,37,At Risk
CUST_1118,10/31/2021,92,0.22,7157.26,15,Churned
CUST_3939,7/17/2022,204,0.81,16349.22,12,At Risk
CUST_2460,11/24/2023,311,0.06,45715.51,49,Active
CUST_5648,2/26/2020,322,0.92,20756.66,15,At Risk
CUST_7819,4/16/2020,255,0.87,37537.57,34,Active
CUST_8798,8/6/2023,36,0.57,6116.38,6,At Risk
CUST_3079,8/6/2023,156,0.01,12754.44,17,Churned
CUST_4377,1/11/2021,121,0.26,40463.61,48,Active
CUST_3344,7/14/2023,219,0.41,38268.15,49,Active
CUST_5439,6/27/2022,82,0.46,19614.72,20,At Risk
CUST_9570,8/5/2023,271,0.3,47742.65,9,Churned
CUST_8379,10/5/2020,161,0.03,45576.83,5,Churned
CUST_7750,1/7/2020,141,0.59,48133.89,23,Churned
CUST_4919,3/31/2022,36,0.52,21681.78,33,Active
CUST_3859,2/13/2021,259,0.28,10274.94,38,Active
CUST_1616,7/10/2023,185,0.04,31519.6,14,Churned
CUST_3949,9/17/2021,226,0.99,34396.27,17,Churned
CUST_9190,10/4/2021,352,0.48,6709.37,19,Active
CUST_2442,3/25/2023,252,0.76,39430.91,33,At Risk
CUST_5934,6/17/2020,279,0.45,1393.98,1,Churned
CUST_6699,8/14/2020,112,0.04,24395.06,13,At Risk
CUST_7861,11/19/2020,269,0.31,16885.3,46,At Risk
CUST_1074,5/26/2021,352,0.32,37145,27,Active
CUST_4860,11/23/2022,292,0.84,15981.66,6,Churned
CUST_4144,8/22/2023,218,0.65,41426.95,6,Churned
CUST_2925,9/23/2020,319,0.28,29950.2,33,Active
CUST_9686,5/1/2023,87,0.97,39797.72,30,Active
CUST_2567,11/5/2023,38,0.32,49472.36,46,At Risk
CUST_6929,4/20/2022,333,1,34118.34,35,Churned
CUST_9842,10/16/2021,144,1,49255.04,23,Active
CUST_9315,7/13/2022,239,0.19,1927.4,10,Active
CUST_4592,9/6/2022,70,0.31,17237.93,19,Churned
CUST_8605,9/30/2020,333,0.49,5838.74,28,At Risk
CUST_4409,6/17/2021,202,0.66,13484.09,23,Churned
CUST_5528,12/21/2020,263,0.53,42024.95,4,At Risk
CUST_1869,11/8/2023,310,0.97,2100,20,Active
CUST_4173,4/29/2023,107,0.72,26249.06,19,Active
CUST_2846,11/1/2021,137,0.21,28572.87,42,At Risk
CUST_3444,7/31/2021,310,0.11,28276.98,27,Churned
CUST_8772,2/10/2021,68,0.69,24027.21,34,At Risk
CUST_9151,6/21/2020,148,0.16,39634.85,4,Churned
CUST_3888,4/28/2022,364,0.79,7110.38,38,Active
CUST_3617,1/22/2022,56,0.31,15873.56,7,Active
CUST_1706,1/7/2021,133,0.33,30978.44,48,Active
CUST_1885,3/16/2022,103,0.01,34702.09,7,At Risk
CUST_6966,2/11/2022,220,0.7,20505.35,26,At Risk
CUST_5670,3/14/2023,353,0.11,43830.88,26,Churned
CUST_4433,4/4/2021,176,0.77,21066.92,19,At Risk
CUST_8121,2/12/2020,284,0.49,20437.42,9,Churned
CUST_5118,2/17/2020,313,0.78,2292.26,20,At Risk
CUST_6477,2/17/2023,242,0.58,27781.5,42,At Risk
CUST_8424,8/18/2023,152,0.08,35579.7,45,Churned
CUST_1709,6/7/2023,235,0.77,6164.69,16,Active
CUST_2710,7/7/2023,269,0.07,15618.92,17,Churned
CUST_1859,4/13/2021,315,0.48,39172.22,22,Churned
CUST_9804,7/1/2020,51,0.17,18613.01,13,At Risk
CUST_3881,8/5/2022,288,0.75,12459.32,12,Active
CUST_3589,2/10/2021,134,0.91,33773.93,10,Active
CUST_1476,6/20/2021,287,0.55,10239.56,1,Churned
CUST_8947,12/7/2023,233,0.53,44834.82,32,Churned
CUST_9436,12/11/2020,339,0.76,5727.12,30,Churned
CUST_2901,4/11/2020,291,0.01,35474.22,8,Active
CUST_2160,4/1/2022,136,0.92,25227.66,21,At Risk
CUST_4855,6/19/2023,280,0.2,43561.51,22,Active
CUST_8287,5/28/2022,250,0.98,6746.66,18,At Risk
CUST_6340,5/14/2023,251,0.74,34055.8,2,Churned
CUST_7865,6/16/2021,287,0.77,28816.7,48,Active
CUST_4256,11/1/2020,230,0.66,24264.46,44,Active
CUST_6336,7/1/2020,287,0.47,24824.66,9,Churned
CUST_4769,1/23/2022,254,0.57,36237.86,3,Churned
CUST_2804,12/14/2020,231,0.05,46918.21,26,At Risk
CUST_6343,3/7/2023,255,0.62,5016.96,21,At Risk
CUST_4731,8/28/2020,265,0.63,1465.38,30,Active
CUST_2606,1/29/2020,212,0.89,40382.39,28,Churned
CUST_4884,12/12/2022,229,0.51,5854.38,36,Churned
CUST_7759,6/10/2022,275,0.08,49341.49,26,At Risk
CUST_4276,7/18/2022,140,0.31,31157.74,34,Churned
CUST_7152,10/11/2023,35,0.66,32717.89,8,At Risk
CUST_4615,10/9/2022,265,0.24,10345.14,10,Churned
CUST_2204,8/30/2020,156,0.28,12395.46,48,At Risk
CUST_8716,4/4/2021,133,0.82,33137.84,43,Churned
CUST_8936,2/20/2021,266,0.58,45531.48,14,At Risk
CUST_1890,1/25/2021,184,0.51,49128.33,40,At Risk
CUST_8141,6/29/2021,286,0.32,10302.53,15,Active
CUST_3374,8/12/2021,264,0.73,7138.92,17,Churned
CUST_4541,10/9/2022,318,0.29,3291.87,18,At Risk
CUST_8454,2/21/2022,69,0.74,43480.7,32,At Risk
CUST_3917,9/23/2020,317,0.07,15088.38,38,Active
CUST_7346,6/2/2022,226,0.86,589.7,23,At Risk
CUST_7119,2/27/2021,302,0.5,11579,46,Churned
CUST_3234,5/13/2023,293,0.44,17351.83,23,At Risk
CUST_8499,3/17/2021,86,0.61,49553.82,35,Active
CUST_4181,8/2/2021,327,0.62,26415.31,39,Churned
CUST_6875,10/18/2023,127,0.13,10633.34,15,Active
CUST_5418,1/22/2021,166,0.76,17073.51,24,Churned
CUST_4313,5/6/2022,116,0.28,16850.23,28,Active
CUST_6503,1/4/2021,271,0.9,1476.42,16,Churned
CUST_3084,4/16/2022,228,0.82,7191.56,16,At Risk
CUST_1525,10/25/2020,339,0.35,34912.22,40,Active
CUST_1977,2/28/2020,113,0.81,6452.42,39,Active
CUST_5597,8/17/2021,271,0.36,11921.35,6,Churned
CUST_3236,6/20/2021,310,0.1,17861.5,2,Active
CUST_2820,4/27/2021,352,0.96,38007.88,13,At Risk
CUST_8627,6/19/2023,281,0.65,29328.85,44,Churned
CUST_8513,7/12/2022,219,0.46,34605.5,47,Churned
CUST_7852,5/23/2021,181,0.4,28567.11,9,Churned
CUST_3804,1/27/2022,331,0.32,34337.83,34,At Risk
CUST_6629,4/8/2023,307,0.98,640.69,17,At Risk
CUST_4602,11/2/2023,168,0.13,46579.46,27,Churned
CUST_5835,8/18/2023,205,0.31,5990.55,29,Active
CUST_3568,7/27/2022,37,0.49,20609.33,37,Churned
